,product_name,selling_price,actual_price,average_rating,rating_and_rivew,resolution,refresh_rate,hdmi_usb,speaker,warranty,exchange_offer
0,Yuwa 24 HD 60 cm (24 inch) HD Ready LED TV,"₹5,999","₹10,192",3.5,4 Ratings & 0 Reviews,HD Ready 1366*768 Pixels,60 Hz Refresh Rate,1 x HDMI | 1 x USB,20 WATT Speaker Output,1 Year Manufacturer Warranty,Bank Offer
13,LumX Border Less 60 cm (24 inch) HD Ready LED TV,"₹7,549","₹17,900",3.8,79 Ratings & 8 Reviews,HD Ready 1366X768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20W Speaker Output,1 Year Warranty on Product.,Bank Offer
14,Dyanora 61 cm (60 cm) HD Ready LED Smart TV,"₹7,699","₹12,499",0,0,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Manufacturer Warranty from the Date of Purchase from Dyanora,Bank Offer
15,HUIDI 80 cm (32 inch) HD Ready LED TV with Bezel Less Display,"₹7,699","₹17,599",4,"4,837 Ratings & 555 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product,Bank Offer
16,InnoQ Super Bright 80 cm (32 inch) HD Ready LED TV with With Pixel Boost Engine & Thunder Audio Speake...,"₹7,940","₹21,990",4,400 Ratings & 67 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20 W Speaker Output,1 Year Limited Domestic Warranty,Bank Offer
17,Croma 81.28 cm (32 inch) HD Ready LED TV,"₹7,990","₹20,000",4.2,"1,729 Ratings & 213 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 Speaker Output,1 Year Warranty,Bank Offer
18,Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,999","₹16,999",3.8,"6,532 Ratings & 897 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product,Bank Offer
19,Thomson R9 60 cm (24 inch) HD Ready LED TV,"₹7,999","₹10,499",4.1,"54,166 Ratings & 7,936 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product & 6 Months on Accessories,"Upto ₹6,000 Off on Exchange"
20,Yuwa 32 HD 80 cm (32 inch) HD Ready LED TV,"₹7,999","₹13,799",0,0,HD Ready 1366*768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 WATT Speaker Output,1 Year Manufacturer Warranty,Bank Offer
21,Dyanora 80 cm (32 inch) HD Ready LED TV,"₹8,199","₹15,999",4.1,46 Ratings & 5 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Manufacturer Warranty from the Date of Purchase,Bank Offer
22,Dyanora 60 cm (24 inch) HD Ready LED Smart TV,"₹8,199","₹12,999",4.1,475 Ratings & 68 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Manufacturer Warranty from the Date of Purchase,Bank Offer
23,Candes 80 cm (32 inch) HD Ready LED TV,"₹8,290","₹22,690",4.1,37 Ratings & 3 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 Speaker Output,1 Year Candes Domestic Warranty,Bank Offer
24,KODAK X900 80 cm (32 inch) HD Ready LED TV,"₹8,399","₹15,999",4.1,"14,205 Ratings & 2,269 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product & 6 Months on Accessories,"Upto ₹7,500 Off on Exchange"
25,Yuwa 32 Smart 80 cm (32 inch) HD Ready LED Smart TV,"₹8,449","₹17,999",3.8,117 Ratings & 8 Reviews,HD Ready 1366*768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,10 w*2 Speaker Output,1 Year Manufacturer Warranty,Bank Offer
26,Candes 60 cm (24 inch) HD Ready LED Smart Android TV,"₹8,490","₹17,990",4,479 Ratings & 91 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20 Speaker Output,1 Year Candes Domestic Warranty,Bank Offer
27,Yuwa FL Series 80 cm (32 inch) HD Ready LED Smart TV,"₹8,499","₹21,990",0,0,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Standard Manufacturer Warranty From Yuwa,Bank Offer
28,Yuwa FL Series 80 cm (32 inch) HD Ready LED Smart TV,"₹8,499","₹20,999",3,4 Ratings & 0 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Standard Manufacturer Warranty From Yuwa,Bank Offer
29,Yuwa FL Series 80 cm (32 inch) HD Ready LED Smart TV,"₹8,499","₹21,990",0,0,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Standard Manufacturer Warranty From Yuwa,Bank Offer
30,Adsun 80 cm (32 inch) HD Ready LED Smart TV,"₹8,699","₹21,999",3.8,"6,532 Ratings & 897 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 1 x USB,20 W Speaker Output,,Bank Offer
31,HUIDI 80 cm (32 inch) HD Ready LED Smart TV,"₹8,999","₹18,599",4,"4,837 Ratings & 555 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty,Bank Offer
32,MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹8,999","₹19,999",4.2,"6,151 Ratings & 746 Reviews",HD Ready 1366 X 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product,"Upto ₹8,000 Off on Exchange"
33,Adsun Frameless 80 cm (32 inch) HD Ready LED Smart TV,"₹8,999","₹29,999",3.8,"6,532 Ratings & 897 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 1 x USB,20 W Speaker Output,3 Years Standard Manufacturer Warranty from Adsun,Bank Offer
34,Sansui Prime Series 60 cm (24 inch) HD Ready LED TV with 20W Speaker (Black) (2021 Model),"₹8,999","₹12,990",4.2,65 Ratings & 4 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,Sansui Prime Series 60 cm (24 inch) HD Ready LED TV with 20W Speaker (Black) (2021 Model),1 Year Comprehensive Warranty,"Upto ₹8,000 Off on Exchange"
35,Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹8,999","₹14,990",4.1,"54,166 Ratings & 7,936 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product & 6 Months on Accessories,"Upto ₹8,000 Off on Exchange"
36,Compaq HUEQ W32N 80 cm (32 inch) HD Ready LED TV,"₹8,999","₹17,999",4,93 Ratings & 20 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product,"Upto ₹8,000 Off on Exchange"
37,Hyundai 60 cm (24 inch) HD Ready LED TV,"₹8,999","₹15,000",4.8,5 Ratings & 1 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,16 W Speaker Output,1 Year Warranty on Product and 6 Months on Remote,"Upto ₹8,000 Off on Exchange"
38,HUIDI 80 cm (32 inch) HD Ready LED Smart TV with Bezel Less Display,"₹9,299","₹15,599",4,"4,837 Ratings & 555 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product,Bank Offer
39,Candes 81 cm (32 inch) HD Ready LED Smart Android TV,"₹9,390","₹24,490",4,479 Ratings & 91 Reviews,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,1 x HDMI | 2 x USB,20 Speaker Output,1 Year Candes Domestic Warranty,Bank Offer
40,Akai 60 cm (24 inch) HD Ready LED TV,"₹9,489","₹15,990",0,0,HD Ready 1366*768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,10*2 Speaker Output,1 Year Comprehensive Warranty,Bank Offer
41,InnoQ Frameless 80 cm (32 inch) HD Ready LED Smart TV with With Pixel Boost Engine & Thunder Audio Spe...,"₹9,490","₹27,990",4,400 Ratings & 67 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20 W Speaker Output,1 Year Limited Domestic Warranty,Bank Offer
42,Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,699","₹18,999",3.8,20 Ratings & 2 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Manufacturer Warranty From The Date Of Purchase,Bank Offer
43,iMEE Premium 80 cm (32 inch) HD Ready LED Smart Android TV with with SRS Surround Sound (BEE 5 Star),"₹9,999","₹18,999",0,0,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty from the Date of Purchase,Bank Offer
44,iFFALCON 79.97 cm (32 inch) HD Ready LED TV,"₹9,999","₹18,990",4.2,"1,198 Ratings & 115 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 1 x USB,16 W Speaker Output,1 Year Warranty on Product,Bank Offer
45,iMEE Premium 80 cm (32 inch) HD Ready LED Smart Android TV with with SRS Surround Sound (BEE 5 Star),"₹9,999","₹18,999",0,0,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty from the Date of Purchase,Bank Offer
46,Thomson Alpha 80 cm (32 inch) HD Ready LED Smart TV with 30 W Sound Output & Bezel-Less Design,"₹9,999","₹14,999",3.8,20 Ratings & 2 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,3 x HDMI | 2 x USB,30 W Speaker Output,1 Year Warranty on Product and 6 Months on Accessories,Bank Offer
47,iMEE Premium 80 cm (32 inch) HD Ready LED Smart Android TV with with SRS Surround Sound (BEE 5 Star),"₹9,999","₹18,999",0,0,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty from the Date of Purchase,Bank Offer
48,iMEE Elite 80 cm (32 inch) HD Ready LED Smart Android TV with with SRS Surround Sound (BEE 5 Star),"₹10,499","₹19,999",0,0,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty from the Date of Purchase,Bank Offer
49,iMEE Elite 80 cm (32 Inch) HD Ready LED Smart Android TV with with SRS Surround Sound (BEE 5 Star),"₹10,499","₹19,999",0,0,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty from the Date of Purchase,Bank Offer
50,Coocaa 80 cm (32 inch) HD Ready LED Smart TV with Dolby Audio and Eye Care Technology,"₹10,499","₹36,990",4.2,"14,794 Ratings & 2,321 Reviews",HD Ready 1366 x768 Pixels,60 Hz Refresh Rate,2 x HDMI | 1 x USB,20 W Speaker Output,1 Year Domestic Warranty,"Upto ₹8,000 Off on Exchange"
51,iMEE Elite 80 cm (32 inch) HD Ready LED Smart Android TV with with SRS Surround Sound (BEE 5 Star),"₹10,499","₹19,999",0,0,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty from the Date of Purchase,Bank Offer
52,Sansui Neo 80 cm (32 inch) HD Ready LED Smart TV with Bezel-less Design and Dolby Audio (Midnight Blac...,"₹10,499","₹19,990",4.2,83 Ratings & 11 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 1 x USB,20 W Speaker Output,1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel,Bank Offer
53,iMEE Elite 80 cm (32 inch) HD Ready LED Smart Android TV with with SRS Surround Sound (BEE 5 Star),"₹10,499","₹19,999",0,0,HD Ready 1366 x 768 Pixels,50 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty from the Date of Purchase,Bank Offer
54,Candes 80 cm (32 inch) HD Ready LED Smart Android TV,"₹10,559","₹25,690",4,158 Ratings & 24 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 Speaker Output,1 Year Candes Domestic Warranty,Bank Offer
55,Dyanora 80 cm (32 inch) HD Ready LED Smart TV,"₹10,699","₹18,999",4.1,475 Ratings & 68 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Manufacturer Warranty from the Date of Purchase,Bank Offer
56,Nacson 80 cm (32 inch) HD Ready LED Smart TV,"₹10,990","₹24,990",4.2,6 Ratings & 1 Reviews,HD Ready 1366x768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,24 Speaker Output,1 Year onsite Warranty  on Product.,Bank Offer
57,Hyundai 80 cm (32 inch) HD Ready LED TV,"₹10,990","₹18,990",4.3,12 Ratings & 2 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,16 W Speaker Output,1 Year Warranty on Product and 6 Months on Remote,"Upto ₹8,000 Off on Exchange"
58,Sansui Prime Series 80 cm (32 inch) HD Ready LED TV with 20W Speaker (Black) (2021 Model),"₹10,999","₹17,990",4.1,23 Ratings & 3 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,Sansui Prime Series 80 cm (32 inch) HD Ready LED TV with 20W Speaker (Black) (2021 Model),1 Year Comprehensive Warranty,"Upto ₹8,000 Off on Exchange"
59,KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹11,490","₹18,499",4.4,"31,653 Ratings & 7,274 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,3 x HDMI | 2 x USB,24 W Speaker Output,1 Year Warranty on Product & 6 Months on Accessories,"Upto ₹8,000 Off on Exchange"
60,KODAK 80 cm (32 inch) HD Ready LED Smart TV,"₹11,499","₹20,990",4.3,"12,445 Ratings & 3,405 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Kodak India Warranty,Bank Offer
61,Croma 80 cm (32 inch) HD Ready LED Smart Android TV,"₹11,990","₹25,000",4.2,161 Ratings & 16 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 Speaker Output,1 Year Standard Comprehensive Manufacturer Warranty From Croma,Bank Offer
62,Micromax 81 cm (32 inch) HD Ready LED TV with IPS Panel,"₹11,999","₹19,900",4.3,143 Ratings & 15 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,24 W Speaker Output,1 Year Warranty,Bank Offer
63,Infinix X1 80 cm (32 inch) HD Ready LED Smart Android TV with Eye Care Technology,"₹11,999","₹17,999",4.2,"14,745 Ratings & 2,269 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 1 x USB,20 W Speaker Output,1 Year Domestic Warranty,"Upto ₹8,000 Off on Exchange"
64,Vu Premium TV 80 cm (32 inch) HD Ready LED Smart TV with Bezel-Less Frame,"₹11,999","₹20,000",4.2,"5,528 Ratings & 618 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Vu Domestic Warranty,"Upto ₹11,000 Off on Exchange"
65,Infinix X3 80 cm (32 inch) HD Ready LED Smart Android TV,"₹11,999","₹17,999",4.2,"14,745 Ratings & 2,269 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,3 x HDMI | 2 x USB,20 W Speaker Output,1 Year Domestic Warranty,"Upto ₹8,000 Off on Exchange"
66,Coocaa 80 cm (32 inch) HD Ready LED Smart Android TV with HDR 10 Dolby Audio and Eye Care Technology,"₹11,999","₹25,999",4.4,310 Ratings & 92 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Domestic Warranty,"Upto ₹8,000 Off on Exchange"
67,Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹11,999","₹14,499",4.4,"67,241 Ratings & 14,578 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,3 x HDMI | 2 x USB,24 W Speaker Output,1 Year Warranty on Product & 6 Months on Accessories,"Upto ₹7,500 Off on Exchange"
68,iFFALCON 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and Dolby Au...,"₹11,999","₹18,999",4.2,"29,561 Ratings & 4,135 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 1 x USB,16 W Speaker Output,1 Year Domestic Warranty,0
69,CORNEA 83 cm (32 inch) Full HD LED Smart Android TV,"₹12,349","₹19,999",0,0,Full HD 1920 x 1080 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20 W Speaker Output,1 Year Standard Manufacturer Warranty From Cornea,Bank Offer
70,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x783 Pixels,60 Hz Refresh Rate,17 x HDMI | 17 x USB,24W x 17 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
71,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x794 Pixels,60 Hz Refresh Rate,28 x HDMI | 28 x USB,24W x 28 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
72,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x796 Pixels,60 Hz Refresh Rate,30 x HDMI | 30 x USB,24W x 30 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
73,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x815 Pixels,60 Hz Refresh Rate,49 x HDMI | 49 x USB,24W x 49 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
74,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x778 Pixels,60 Hz Refresh Rate,12 x HDMI | 12 x USB,24W x 12 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
75,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x781 Pixels,60 Hz Refresh Rate,15 x HDMI | 15 x USB,24W x 15 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
76,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x785 Pixels,60 Hz Refresh Rate,19 x HDMI | 19 x USB,24W x 19 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
77,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,24W x 2 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
78,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x801 Pixels,60 Hz Refresh Rate,35 x HDMI | 35 x USB,24W x 35 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
79,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x804 Pixels,60 Hz Refresh Rate,38 x HDMI | 38 x USB,24W x 38 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
80,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x811 Pixels,60 Hz Refresh Rate,45 x HDMI | 45 x USB,24W x 45 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
81,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x771 Pixels,60 Hz Refresh Rate,5 x HDMI | 5 x USB,24W x 5 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
82,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x783 Pixels,60 Hz Refresh Rate,17 x HDMI | 17 x USB,24W x 17 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
83,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x780 Pixels,60 Hz Refresh Rate,14 x HDMI | 14 x USB,24W x 14 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
84,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x811 Pixels,60 Hz Refresh Rate,45 x HDMI | 45 x USB,24W x 45 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
85,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x799 Pixels,60 Hz Refresh Rate,33 x HDMI | 33 x USB,24W x 33 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
86,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x812 Pixels,60 Hz Refresh Rate,46 x HDMI | 46 x USB,24W x 46 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
87,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x772 Pixels,60 Hz Refresh Rate,6 x HDMI | 6 x USB,24W x 6 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
88,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x794 Pixels,60 Hz Refresh Rate,28 x HDMI | 28 x USB,24W x 28 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
89,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x774 Pixels,60 Hz Refresh Rate,8 x HDMI | 8 x USB,24W x 8 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
90,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,24W x 2 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
91,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x806 Pixels,60 Hz Refresh Rate,40 x HDMI | 40 x USB,24W x 40 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
92,kinger 81 cm (32 inch) Full HD LED Smart Android TV,"₹12,369","₹22,490",0,0,Full HD 1366x797 Pixels,60 Hz Refresh Rate,31 x HDMI | 31 x USB,24W x 31 Speaker Output,1 Year Manufacturing Warranty by KINGER,Bank Offer
